DATE,RSDSELDN
1992-01-01,10306
1992-02-01,11251
1992-03-01,12917
1992-04-01,13461
1992-05-01,14286
1992-06-01,13354
1992-07-01,13101
1992-08-01,14783
1992-09-01,13323
1992-10-01,14961
1992-11-01,18128
1992-12-01,27218
1993-01-01,11164
1993-02-01,11300
1993-03-01,13411
1993-04-01,14245
1993-05-01,15110
1993-06-01,14345
1993-07-01,14348
1993-08-01,15461
1993-09-01,14478
1993-10-01,15971
1993-11-01,19064
1993-12-01,28788
1994-01-01,11666
1994-02-01,12160
1994-03-01,15196
1994-04-01,14901
1994-05-01,15504
1994-06-01,15622
1994-07-01,15036
1994-08-01,16426
1994-09-01,15248
1994-10-01,16680
1994-11-01,20226
1994-12-01,30280
1995-01-01,12260
1995-02-01,12603
1995-03-01,15448
1995-04-01,15729
1995-05-01,16337
1995-06-01,16399
1995-07-01,15922
1995-08-01,17050
1995-09-01,15981
1995-10-01,16574
1995-11-01,21138
1995-12-01,30479
1996-01-01,12299
1996-02-01,13768
1996-03-01,15808
1996-04-01,15957
1996-05-01,17454
1996-06-01,16655
1996-07-01,15768
1996-08-01,17932
1996-09-01,16092
1996-10-01,17462
1996-11-01,21389
1996-12-01,31619
1997-01-01,13463
1997-02-01,14077
1997-03-01,17084
1997-04-01,16180
1997-05-01,18118
1997-06-01,17259
1997-07-01,16673
1997-08-01,18633
1997-09-01,16229
1997-10-01,18259
1997-11-01,22114
1997-12-01,32019
1998-01-01,13887
1998-02-01,14640
1998-03-01,16616
1998-04-01,17544
1998-05-01,18581
1998-06-01,17234
1998-07-01,16908
1998-08-01,18362
1998-09-01,16467
1998-10-01,18211
1998-11-01,22164
1998-12-01,32676
1999-01-01,14480
1999-02-01,15239
1999-03-01,17851
1999-04-01,17704
1999-05-01,18935
1999-06-01,17955
1999-07-01,17549
1999-08-01,18510
1999-09-01,17383
1999-10-01,18513
1999-11-01,22213
1999-12-01,33972
2000-01-01,14728
2000-02-01,15413
2000-03-01,17867
2000-04-01,18184
2000-05-01,18976
2000-06-01,18156
2000-07-01,17353
2000-08-01,18742
2000-09-01,17269
2000-10-01,18016
2000-11-01,23454
2000-12-01,34317
2001-01-01,15153
2001-02-01,15220
2001-03-01,17229
2001-04-01,17969
2001-05-01,18535
2001-06-01,17841
2001-07-01,17025
2001-08-01,19083
2001-09-01,16676
2001-10-01,17800
2001-11-01,22954
2001-12-01,32892
2002-01-01,14536
2002-02-01,15102
2002-03-01,17916
2002-04-01,17156
2002-05-01,18339
2002-06-01,17449
2002-07-01,16449
2002-08-01,18307
2002-09-01,15831
2002-10-01,17523
2002-11-01,21076
2002-12-01,31059
2003-01-01,13970
2003-02-01,14357
2003-03-01,16371
2003-04-01,16375
2003-05-01,17570
2003-06-01,16639
2003-07-01,16385
2003-08-01,18182
2003-09-01,15669
2003-10-01,17319
2003-11-01,20818
2003-12-01,30815
2004-01-01,14053
2004-02-01,15157
2004-03-01,16440
2004-04-01,16697
2004-05-01,17467
2004-06-01,16282
2004-07-01,16454
2004-08-01,17203
2004-09-01,15985
2004-10-01,17446
2004-11-01,20724
2004-12-01,31783
2005-01-01,14218
2005-02-01,14943
2005-03-01,16601
2005-04-01,16666
2005-05-01,16947
2005-06-01,17150
2005-07-01,16323
2005-08-01,17199
2005-09-01,15506
2005-10-01,17456
2005-11-01,21171
2005-12-01,31086
2006-01-01,14033
2006-02-01,14800
2006-03-01,16490
2006-04-01,16811
2006-05-01,17005
2006-06-01,16706
2006-07-01,16025
2006-08-01,16997
2006-09-01,15781
2006-10-01,16675
2006-11-01,21167
2006-12-01,30665
2007-01-01,14119
2007-02-01,14441
2007-03-01,16534
2007-04-01,16091
2007-05-01,16924
2007-06-01,16307
2007-07-01,15653
2007-08-01,17283
2007-09-01,15254
2007-10-01,16354
2007-11-01,20878
2007-12-01,29554
2008-01-01,13214
2008-02-01,14291
2008-03-01,15765
2008-04-01,14947
2008-05-01,16640
2008-06-01,15883
2008-07-01,15142
2008-08-01,16425
2008-09-01,13868
2008-10-01,15392
2008-11-01,19420
2008-12-01,27249
2009-01-01,12651
2009-02-01,12869
2009-03-01,14058
2009-04-01,14575
2009-05-01,15380
2009-06-01,14202
2009-07-01,14171
2009-08-01,15338
2009-09-01,13506
2009-10-01,14973
2009-11-01,18276
2009-12-01,26584
2010-01-01,12298
2010-02-01,12819
2010-03-01,14632
2010-04-01,14183
2010-05-01,14922
2010-06-01,14273
2010-07-01,13955
2010-08-01,14709
2010-09-01,13520
2010-10-01,14387
2010-11-01,18416
2010-12-01,26641
2011-01-01,11895
2011-02-01,12857
2011-03-01,14178
2011-04-01,14513
2011-05-01,14484
2011-06-01,14719
2011-07-01,13901
2011-08-01,14675
2011-09-01,13598
2011-10-01,14264
2011-11-01,18035
2011-12-01,26242
2012-01-01,11430
2012-02-01,13169
2012-03-01,14448
2012-04-01,13579
2012-05-01,14111
2012-06-01,13909
2012-07-01,13145
2012-08-01,14710
2012-09-01,13123
2012-10-01,13482
2012-11-01,17610
2012-12-01,24597
2013-01-01,11299
2013-02-01,12029
2013-03-01,13905
2013-04-01,12544
2013-05-01,14013
2013-06-01,13309
2013-07-01,12574
2013-08-01,14117
2013-09-01,12481
2013-10-01,13290
2013-11-01,16858
2013-12-01,23775
2014-01-01,10581
2014-02-01,11587
2014-03-01,13228
2014-04-01,13061
2014-05-01,13977
2014-06-01,12963
2014-07-01,12675
2014-08-01,14116
2014-09-01,12109
2014-10-01,13144
2014-11-01,16793
2014-12-01,23834
2015-01-01,10772
2015-02-01,11204
2015-03-01,13144
2015-04-01,12320
2015-05-01,13661
2015-06-01,12534
2015-07-01,12528
2015-08-01,13628
2015-09-01,12014
2015-10-01,12933
2015-11-01,16313
2015-12-01,22980
2016-01-01,10089
2016-02-01,10970
2016-03-01,12450
2016-04-01,11539
2016-05-01,12120
2016-06-01,12160
2016-07-01,11710
2016-08-01,12565
2016-09-01,11278
2016-10-01,11783
2016-11-01,14722
2016-12-01,21185
2017-01-01,9232
2017-02-01,9765
2017-03-01,11453
2017-04-01,11291
2017-05-01,11664
2017-06-01,11405
2017-07-01,11153
2017-08-01,11969
2017-09-01,10745
2017-10-01,11030
2017-11-01,14719
2017-12-01,20241
2018-01-01,9025
2018-02-01,9587
2018-03-01,11400
2018-04-01,10514
2018-05-01,11976
2018-06-01,11129
2018-07-01,10948
2018-08-01,12047
2018-09-01,10351
2018-10-01,10979
2018-11-01,14546
2018-12-01,19076
2019-01-01,8657
2019-02-01,9142
2019-03-01,10645
2019-04-01,10456
2019-05-01,11299
2019-06-01,10625
2019-07-01,10630
2019-08-01,11550
2019-09-01,9762
2019-10-01,10456
2019-11-01,13401
2019-12-01,18403
2020-01-01,8479
2020-02-01,9139
2020-03-01,7871
2020-04-01,5804
2020-05-01,8346
2020-06-01,8747
2020-07-01,9265
2020-08-01,9624
2020-09-01,8891
2020-10-01,9361
2020-11-01,10755
2020-12-01,14267
2021-01-01,8334
